bucket;files;key;size;sizep
commoncrawl-crawl-002;323694;/;32331012109171;29.4 TiB
commoncrawl-crawl-002;45265;2009/;4523265685970;4.1 TiB
commoncrawl-crawl-002;21559;2009/09/;2154377561011;2.0 TiB
commoncrawl-crawl-002;21559;2009/09/17/;2154377561011;2.0 TiB
commoncrawl-crawl-002;484;2009/09/17/0/;48371676444;45.0 GiB
commoncrawl-crawl-002;426;2009/09/17/1/;42605086392;39.7 GiB
commoncrawl-crawl-002;451;2009/09/17/10/;45118372993;42.0 GiB
commoncrawl-crawl-002;432;2009/09/17/11/;43181571039;40.2 GiB
commoncrawl-crawl-002;503;2009/09/17/12/;50248919884;46.8 GiB
commoncrawl-crawl-002;451;2009/09/17/13/;45019310565;41.9 GiB
commoncrawl-crawl-002;445;2009/09/17/14/;44425742692;41.4 GiB
commoncrawl-crawl-002;466;2009/09/17/15/;46590680277;43.4 GiB
commoncrawl-crawl-002;456;2009/09/17/16/;45570829644;42.4 GiB
commoncrawl-crawl-002;418;2009/09/17/17/;41793210117;38.9 GiB
commoncrawl-crawl-002;435;2009/09/17/18/;43497940376;40.5 GiB
commoncrawl-crawl-002;467;2009/09/17/19/;46675509420;43.5 GiB
commoncrawl-crawl-002;415;2009/09/17/2/;41451105826;38.6 GiB
commoncrawl-crawl-002;465;2009/09/17/20/;46478578952;43.3 GiB
commoncrawl-crawl-002;424;2009/09/17/21/;42388217809;39.5 GiB
commoncrawl-crawl-002;459;2009/09/17/22/;45918892738;42.8 GiB
commoncrawl-crawl-002;508;2009/09/17/23/;50755289823;47.3 GiB
commoncrawl-crawl-002;498;2009/09/17/24/;49797439614;46.4 GiB
commoncrawl-crawl-002;438;2009/09/17/25/;43739264908;40.7 GiB
commoncrawl-crawl-002;501;2009/09/17/26/;50089287646;46.6 GiB
commoncrawl-crawl-002;430;2009/09/17/27/;42991377361;40.0 GiB
commoncrawl-crawl-002;405;2009/09/17/28/;40423594024;37.6 GiB
commoncrawl-crawl-002;400;2009/09/17/29/;39964739300;37.2 GiB
commoncrawl-crawl-002;457;2009/09/17/3/;45631776164;42.5 GiB
commoncrawl-crawl-002;407;2009/09/17/30/;40653463226;37.9 GiB
commoncrawl-crawl-002;459;2009/09/17/31/;45881189132;42.7 GiB
