bucket;files;key;size;sizep
aws-publicdatasets;352397;common-crawl/;23038211402355;21.0 TiB
aws-publicdatasets;352397;common-crawl/parse-output/;23038211402355;21.0 TiB
aws-publicdatasets;352397;common-crawl/parse-output/segment/;23038211402355;21.0 TiB
aws-publicdatasets;1;common-crawl/parse-output/segment/1331160113237/;87825124;83.8 MiB
aws-publicdatasets;1;common-crawl/parse-output/segment/1331160438608/;67298653;64.2 MiB
aws-publicdatasets;19482;common-crawl/parse-output/segment/1331162106928/;1384034218894;1.3 TiB
aws-publicdatasets;20294;common-crawl/parse-output/segment/1331162107248/;1392687061850;1.3 TiB
aws-publicdatasets;18668;common-crawl/parse-output/segment/1331172068669/;1281695497839;1.2 TiB
aws-publicdatasets;18052;common-crawl/parse-output/segment/1331183631122/;1235008233358;1.1 TiB
aws-publicdatasets;17303;common-crawl/parse-output/segment/1331187712765/;1186739867291;1.1 TiB
aws-publicdatasets;16204;common-crawl/parse-output/segment/1331196191718/;1079765544891;1005.6 GiB
aws-publicdatasets;16169;common-crawl/parse-output/segment/1331200554546/;1072232145760;998.6 GiB
aws-publicdatasets;16882;common-crawl/parse-output/segment/1331208730370/;1137800996178;1.0 TiB
aws-publicdatasets;15308;common-crawl/parse-output/segment/1331209032498/;963096911071;897.0 GiB
aws-publicdatasets;15792;common-crawl/parse-output/segment/1331217336216/;965103525676;898.8 GiB
aws-publicdatasets;15201;common-crawl/parse-output/segment/1331221312479/;964088760506;897.9 GiB
aws-publicdatasets;1224;common-crawl/parse-output/segment/1331230086783/;82153970169;76.5 GiB
aws-publicdatasets;16015;common-crawl/parse-output/segment/1331259973478/;1052856467729;980.5 GiB
aws-publicdatasets;16262;common-crawl/parse-output/segment/1331259973853/;1071771997606;998.2 GiB
aws-publicdatasets;13250;common-crawl/parse-output/segment/1331259974620/;841408916395;783.6 GiB
aws-publicdatasets;13062;common-crawl/parse-output/segment/1331269631196/;819965339244;763.7 GiB
aws-publicdatasets;13148;common-crawl/parse-output/segment/1331278259484/;837059351268;779.6 GiB
aws-publicdatasets;12920;common-crawl/parse-output/segment/1331281457776/;841237917793;783.5 GiB
aws-publicdatasets;11878;common-crawl/parse-output/segment/1331290257643/;782812703262;729.1 GiB
aws-publicdatasets;11297;common-crawl/parse-output/segment/1331290648972/;742437837419;691.4 GiB
aws-publicdatasets;10125;common-crawl/parse-output/segment/1331296705402/;639248775508;595.3 GiB
aws-publicdatasets;15076;common-crawl/parse-output/segment/1331301684972/;931227650157;867.3 GiB
aws-publicdatasets;14279;common-crawl/parse-output/segment/1331302652199/;901022637869;839.1 GiB
aws-publicdatasets;14504;common-crawl/parse-output/segment/1331308330214/;832599950845;775.4 GiB
